SDD21_Lower	SDD11_Upper	SCD21_Upper	SCD22_Upper	SCD21-SDD21_Upper	NEXT_Upper	SDD21_offset
-6		-18				0.029739
-6		-18				0.03929
-6		-18				0.045344
-6		-18				0.051005
-6		-18				0.057188
-6		-18				0.05949
-6		-18				0.065105
-6		-18				0.073165
-6		-18				0.078481
-6	-10	-18	-26	-10	-35	0.084058
-6	-10	-18	-26	-10	-35	0.087889
-6	-10	-18	-26	-10	-35	0.092084
-6	-10	-18	-26	-10	-35	0.096162
-6	-10	-18	-26	-10	-35	0.099621
-6	-10	-18	-26	-10	-35	0.104003
-6	-10	-18	-26	-10	-35	0.106361
-6	-10	-18	-26	-10	-35	0.109963
-6	-10	-18	-26	-10	-35	0.114431
-6	-10	-18	-26	-10	-35	0.116969
-6	-10	-18	-26	-10	-35	0.121335
-6	-10	-18	-26	-10	-35	0.125414
-6	-10	-18	-26	-10	-35	0.129546
-6	-10	-18	-26	-10	-35	0.132289
-6	-10	-18	-26	-10	-35	0.134973
-6	-10	-18	-26	-10	-35	0.140069
-6	-10	-18	-26	-10	-35	0.147409
-6	-10	-18	-26	-10	-35	0.148098
-6	-10	-18	-26	-10	-35	0.152244
-6	-10	-18	-26	-10	-35	0.155046
-6	-10	-18	-25.81060216	-10	-35	0.158206
-6	-10	-18	-25.62721798	-10	-35	0.161041
-6	-10	-18	-25.44947729	-10	-35	0.163564
-6	-10	-18	-25.27704309	-10	-35	0.167252
-6	-10	-18	-25.1096077	-10	-35	0.170937
-6	-10	-18	-24.94688943	-10	-35	0.175324
-6	-10	-18	-24.78862976	-10	-35	0.177594
-6	-10	-18	-24.63459085	-10	-35	0.179899
-6	-10	-18	-24.48455341	-10	-35	0.182604
-6	-10	-18	-24.3383148	-10	-35	0.185527
-6	-10	-18	-24.19568739	-10	-35	0.189275
-6	-10	-18	-24.05649713	-10	-35	0.191735
-6	-10	-18	-23.92058223	-10	-35	0.193216
-6	-10	-18	-23.78779209	-10	-35	0.195386
-6	-10	-18	-23.65798625	-10	-35	0.198459
-6	-10	-18	-23.53103353	-10	-35	0.20137
-6	-10	-18	-23.40681118	-10	-35	0.205063
-6	-10	-18	-23.28520423	-10	-35	0.206808
-6	-10	-18	-23.16610482	-10	-35	0.210809
-6	-10	-18	-23.04941163	-10	-35	0.213659
-6	-10	-18	-22.93502935	-10	-35	0.216463
-6	-10	-18	-22.82286822	-10	-35	0.222742
-6	-10	-18	-22.71284362	-10	-35	0.225817
-6	-10	-18	-22.60487568	-10	-35	0.227993
-6	-10	-18	-22.49888892	-10	-35	0.229903
-6	-10	-18	-22.39481193	-10	-35	0.231558
-6	-10	-18	-22.29257711	-10	-35	0.234991
-6	-10	-18	-22.19212037	-10	-35	0.236398
-6	-10	-18	-22.09338093	-10	-35	0.239905
-6	-10	-18	-21.99630106	-10	-35	0.243536
-6	-10	-18	-21.90082588	-10	-35	0.24579
-6	-10	-18	-21.80690322	-10	-35	0.248749
-6	-10	-18	-21.71448338	-10	-35	0.250401
-6	-10	-18	-21.62351903	-10	-35	0.251811
-6	-10	-18	-21.53396504	-10	-35	0.254686
-6	-10	-18	-21.44577835	-10	-35	0.259091
-6	-10	-18	-21.35891781	-10	-35	0.261443
-6	-10	-18	-21.27334415	-10	-35	0.263138
-6	-10	-18	-21.18901978	-10	-35	0.26515
-6	-10	-18	-21.10590876	-10	-35	0.267226
-6	-10	-18	-21.02397665	-10	-35	0.269316
-6	-10	-18	-20.94319049	-10	-35	0.271787
-6	-10	-18	-20.86351865	-10	-35	0.275507
-6	-10	-18	-20.78493082	-10	-35	0.276885
-6	-10	-18	-20.70739788	-10	-35	0.278501
-6	-10	-18	-20.63089191	-10	-35	0.279864
-6	-10	-18	-20.55538604	-10	-35	0.282567
-6	-10	-18	-20.48085447	-10	-35	0.284331
-6	-10	-18	-20.40727237	-10	-35	0.286868
-6	-10	-18	-20.33461586	-10	-35	0.289626
-6	-10	-18	-20.26286194	-10	-35	0.291916
-6	-10	-18	-20.19198845	-10	-35	0.294127
-6	-10	-18	-20.12197406	-10	-35	0.296475
-6	-10	-18	-20.05279818	-10	-35	0.298285
-6	-10	-18	-19.98444098	-10	-35	0.300659
-6	-10	-18	-19.91688329	-10	-35	0.304138
-6	-10	-18	-19.85010663	-10	-35	0.304672
-6	-10	-18	-19.78409315	-10	-35	0.307692
-6	-10	-18	-19.7188256	-10	-35	0.30926
-6	-10	-18	-19.65428731	-10	-35	0.310526
-6	-10	-18	-19.59046217	-10	-35	0.313772
-6	-10	-18	-19.52733458	-10	-35	0.314086
-6	-10	-18	-19.46488947	-10	-35	0.315765
-6	-10	-18	-19.40311223	-10	-35	0.31781
-6	-10	-18	-19.34198874	-10	-35	0.318273
-6	-10	-18	-19.28150529	-10	-35	0.320075
-6	-10	-18	-19.22164862	-10	-35	0.321972
-6	-10	-18	-19.16240588	-10	-35	0.321225
-6	-10	-18	-19.1037646	-10	-35	0.324497
-6	-10	-18	-19.04571269	-10	-35	0.327081
-6	-10	-18	-18.98823842	-10	-35	0.328897
-6	-10	-18	-18.9313304	-10	-35	0.331683
-6	-10	-18	-18.8749776	-10	-35	0.335137
-6	-10	-18	-18.81916928	-10	-35	0.337052
-6	-10	-18	-18.76389501	-10	-35	0.338289
-6	-10	-18	-18.70914468	-10	-35	0.339868
-6	-10	-18	-18.65490844	-10	-35	0.34254
-6	-10	-18	-18.60117674	-10	-35	0.344892
-6	-10	-18	-18.54794027	-10	-35	0.347367
-6	-10	-18	-18.49518998	-10	-35	0.348051
-6	-10	-18	-18.44291707	-10	-35	0.351366
-6	-10	-18	-18.39111299	-10	-35	0.354081
-6	-10	-18	-18.33976939	-10	-35	0.354636
-6	-10	-18	-18.28887816	-10	-35	0.356202
-6	-10	-18	-18.23843141	-10	-35	0.357543
-6	-10	-18	-18.18842143	-10	-35	0.358481
-6	-10	-18	-18.13884073	-10	-35	0.360015
-6	-10	-18	-18.08968199	-10	-35	0.361544
-6	-10	-18	-18.0409381	-10	-35	0.365138
-6	-10	-18	-17.99260212	-10	-35	0.367768
-6	-10	-18	-17.94466726	-10	-35	0.369556
-6	-10	-18	-17.89712694	-10	-35	0.37149
-6	-10	-18	-17.84997471	-10	-35	0.374479
-6	-10	-18	-17.80320428	-10	-35	0.375012
-6	-10	-18	-17.75680951	-10	-35	0.375898
-6	-10	-18	-17.71078444	-10	-35	0.377225
-6	-10	-18	-17.6651232	-10	-35	0.378706
-6	-10	-18	-17.61982009	-10	-35	0.380277
-6	-10	-18	-17.57486954	-10	-35	0.381865
-6	-10	-18	-17.5302661	-10	-35	0.383938
-6	-10	-18	-17.48600446	-10	-35	0.385184
-6	-10	-18	-17.4420794	-10	-35	0.387213
-6	-10	-18	-17.39848586	-10	-35	0.389903
-6	-10	-18	-17.35521887	-10	-35	0.391686
-6	-10	-18	-17.31227357	-10	-35	0.393341
-6	-10	-18	-17.26964521	-10	-35	0.394846
-6	-10	-18	-17.22732914	-10	-35	0.397402
-6	-10	-18	-17.18532084	-10	-35	0.400611
-6	-10	-18	-17.14361584	-10	-35	0.401955
-6	-10	-18	-17.10220981	-10	-35	0.404111
-6	-10	-18	-17.06109849	-10	-35	0.40607
-6	-10	-18	-17.02027771	-10	-35	0.408234
-6	-10	-18	-16.97974339	-10	-35	0.410367
-6	-10	-18	-16.93949154	-10	-35	0.410439
-6	-10	-18	-16.89951826	-10	-35	0.413462
-6	-10	-18	-16.85981971	-10	-35	0.415297
-6	-10	-18	-16.82039214	-10	-35	0.41738
-6	-10	-18	-16.78123187	-10	-35	0.41907
-6	-10	-18	-16.74233532	-10	-35	0.421692
-6	-10	-18	-16.70369894	-10	-35	0.423666
-6	-10	-18	-16.66531929	-10	-35	0.42576
-6	-10	-18	-16.62719297	-10	-35	0.42795
-6	-10	-18	-16.58931666	-10	-35	0.429294
-6	-10	-18	-16.5516871	-10	-35	0.429751
-6	-10	-18	-16.5143011	-10	-35	0.433075
-6	-10	-18	-16.47715553	-10	-35	0.435922
-6	-10	-18	-16.44024731	-10	-35	0.437969
-6	-10	-18	-16.40357343	-10	-35	0.439978
-6	-10	-18	-16.36713093	-10	-35	0.441403
-6	-10	-18	-16.33091692	-10	-35	0.443617
-6	-10	-18	-16.29492854	-10	-35	0.445052
-6	-10	-18	-16.25916299	-10	-35	0.446475
-6	-10	-18	-16.22361755	-10	-35	0.450486
-6	-10	-18	-16.18828951	-10	-35	0.450855
-6	-10	-18	-16.15317623	-10	-35	0.45284
-6	-10	-18	-16.11827512	-10	-35	0.453147
-6	-10	-18	-16.08358362	-10	-35	0.454636
-6	-10	-18	-16.04909924	-10	-35	0.457612
-6	-10	-18	-16.01481952	-10	-35	0.457712
-6	-10	-18	-15.98074203	-10	-35	0.460824
-6	-10	-18	-15.94686442	-10	-35	0.461657
-6	-10	-18	-15.91318434	-10	-35	0.464406
-6	-10	-18	-15.87969952	-10	-35	0.464965
-6	-10	-18	-15.84640769	-10	-35	0.468124
-6	-10	-18	-15.81330664	-10	-35	0.469392
-6	-10	-18	-15.78039421	-10	-35	0.471651
-6	-10	-18	-15.74766825	-10	-35	0.472113
-6	-10	-18	-15.71512666	-10	-35	0.47367
-6	-10	-18	-15.68276738	-10	-35	0.474758
-6	-10	-18	-15.65058837	-10	-35	0.476852
-6	-10	-18	-15.61858764	-10	-35	0.479459
-6	-10	-18	-15.58676323	-10	-35	0.47989
-6	-10	-18	-15.55511319	-10	-35	0.4819
-6	-10	-18	-15.52363564	-10	-35	0.481961
-6	-10	-18	-15.4923287	-10	-35	0.48362
-6	-10	-18	-15.46119053	-10	-35	0.485633
-6	-10	-18	-15.43021932	-10	-35	0.487758
-6	-10	-18	-15.39941329	-10	-35	0.488467
-6	-10	-18	-15.36877069	-10	-35	0.48866
-6	-10	-18	-15.3382898	-10	-35	0.490622
-6	-10	-18	-15.3079689	-10	-35	0.492578
-6	-10	-18	-15.27780635	-10	-35	0.493074
-6	-10	-18	-15.24780048	-10	-35	0.494246
-6	-10	-18	-15.21794968	-10	-35	0.496451
-6	-10	-18	-15.18825236	-10	-35	0.497805
-6	-10	-18	-15.15870694	-10	-35	0.49945
-6	-10	-18	-15.12931188	-10	-35	0.500859
-6	-10	-18	-15.10006566	-10	-35	0.502626
-6	-10	-18	-15.07096677	-10	-35	0.503163
-6	-10	-18	-15.04201375	-10	-35	0.505428
-6	-10	-18	-15.01320512	-10	-35	0.506804
-6	-10	-18	-14.98453947	-10	-35	0.508511
-6	-10	-18	-14.95601538	-10	-35	0.509893
-6	-10	-18	-14.92763146	-10	-35	0.511632
-6	-10	-18	-14.89938634	-10	-35	0.513024
-6	-10	-18	-14.87127866	-10	-35	0.513968
-6	-10	-18	-14.84330709	-10	-35	0.514841
-6	-10	-18	-14.81547033	-10	-35	0.51771
-6	-9.987767082	-18	-14.78776708	-10	-35	0.518974
-6	-9.960196068	-18	-14.76019607	-10	-35	0.518693
-6	-9.932756032	-18	-14.73275603	-10	-35	0.52033
-6	-9.905445737	-18	-14.70544574	-10	-35	0.522728
-6	-9.878263962	-18	-14.67826396	-10	-35	0.523742
-6	-9.851209502	-18	-14.6512095	-10	-35	0.523683
-6	-9.824281171	-18	-14.62428117	-10	-35	0.526792
-6	-9.797477797	-18	-14.5974778	-10	-35	0.528127
-6	-9.770798228	-18	-14.57079823	-10	-35	0.529973
-6	-9.744241323	-18	-14.54424132	-10	-35	0.532704
-6	-9.71780596	-18	-14.51780596	-10	-35	0.532125
-6	-9.691491033	-18	-14.49149103	-10	-35	0.533827
-6	-9.665295448	-18	-14.46529545	-10	-35	0.535178
-6	-9.639218128	-18	-14.43921813	-10	-35	0.537621
-6	-9.613258009	-18	-14.41325801	-10	-35	0.538674
