TDD11_UPPER	TDD11_LOWER	TDD22_UPPER	TDD22_LOWER
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
110	90	110	90
